track,avg_lap_time,median_laptime,std,fastest_lap
Abu Dhabi Grand Prix,90.35,89.71,4.11,85.64
Australian Grand Prix,83.7,82.71,5.56,79.81
Austrian Grand Prix,71.42,71.15,2.18,67.69
Azerbaijan Grand Prix,109.46,108.91,3.65,105.26
Bahrain Grand Prix,97.05,96.91,1.59,92.61
Belgian Grand Prix,109.28,109.1,1.95,104.7
British Grand Prix,95.29,92.95,5.23,88.29
Canadian Grand Prix,90.14,87.76,11.48,74.86
Chinese Grand Prix,106.87,101.84,12.98,97.81
Dutch Grand Prix,76.39,76.32,1.58,73.82
Emilia Romagna Grand Prix,82.07,81.98,1.4,78.59
Hungarian Grand Prix,84.53,84.39,1.75,80.31
Italian Grand Prix,84.97,84.89,1.75,81.43
Japanese Grand Prix,97.76,97.43,4.07,93.71
Las Vegas Grand Prix,98.73,98.46,2.19,94.88
Mexico City Grand Prix,86.35,82.27,13.54,78.34
Miami Grand Prix,95.11,93.17,7.55,90.63
Monaco Grand Prix,79.52,79.48,2.19,74.17
Qatar Grand Prix,92.98,86.45,17.16,82.38
Saudi Arabian Grand Prix,95.21,94.23,5.9,91.63
Singapore Grand Prix,98.77,98.56,1.8,94.49
Spanish Grand Prix,80.73,80.74,1.63,77.11
Ṣo Paulo Grand Prix,88.33,84.81,10.51,80.47
United States Grand Prix,101.48,100.24,6.72,97.33
