race_id,track_temp,air_temp,rain
2024_01_Bahrain_Grand_Prix,22.825952170062003,18.008325952170065,False
2024_02_Saudi_Arabian_Grand_Prix,30.978468368479465,25.51465038845727,False
2024_03_Australian_Grand_Prix,38.547094188376754,21.1935871743487,False
2024_04_Japanese_Grand_Prix,35.541455347298786,21.17640573318633,False
2024_05_Chinese_Grand_Prix,29.299999999999997,18.57073643410853,False
2024_06_Miami_Grand_Prix,43.62574257425742,28.476777677767778,False
2024_07_Emilia_Romagna_Grand_Prix,41.452827140549275,25.422617124394186,False
2024_08_Monaco_Grand_Prix,44.59409862570736,21.837671786580437,False
2024_09_Canadian_Grand_Prix,24.59237421383648,17.794025157232703,True
2024_10_Spanish_Grand_Prix,41.126488549618315,24.13587786259542,True
2024_11_Austrian_Grand_Prix,46.4376512455516,29.725480427046264,False
2024_12_British_Grand_Prix,24.12882414151925,15.65296566077003,True
2024_13_Hungarian_Grand_Prix,44.911881918819184,29.243468634686348,False
2024_14_Belgian_Grand_Prix,43.01581450653984,21.593935790725325,False
2024_15_Dutch_Grand_Prix,31.53927068723703,19.279032258064518,False
2024_16_Italian_Grand_Prix,46.56646825396825,32.79107142857143,False
2024_17_Azerbaijan_Grand_Prix,43.38191161356629,26.505652620760536,False
2024_18_Singapore_Grand_Prix,35.867034834324556,30.799575191163974,False
2024_19_United_States_Grand_Prix,47.125590179414544,28.60084985835694,False
2024_20_Mexico_City_Grand_Prix,35.547901234567895,20.332345679012345,False
2024_21_Ṣo_Paulo_Grand_Prix,24.73718061674009,21.27171806167401,True
2024_22_Las_Vegas_Grand_Prix,17.259061833688698,17.56449893390192,False
2024_23_Qatar_Grand_Prix,22.43234358430541,18.676882290562034,False
2024_24_Abu_Dhabi_Grand_Prix,30.730338164251208,26.439806763285024,False
